ate,Cidade,tosse,febre,tosse seca,febre alta,falta de ar,lat,long
24/mar,Pedro de Toledo,0,100,0,0,0,-24.1702,-47.17239
24/mar,Santa Rosa de Viterbo,38,62,0,0,0,5.88515,-73.01344
24/mar,Itápolis,34,66,0,0,0,-21.59556,-48.81278
24/mar,São Bento do Sapucaí,0,100,0,0,0,-22.67091,-45.68394
24/mar,Itariri,0,100,0,0,0,-24.2888,-47.13325
24/mar,Cajuru,37,63,0,0,0,-21.27528,-47.30417
24/mar,Conchas,57,43,0,0,0,-23.01528,-48.01056
24/mar,Ipaussu,0,100,0,0,0,-23.05667,-49.62639
24/mar,Morungaba,0,100,0,0,0,-22.88318,-46.78699
24/mar,Salesópolis,0,100,0,0,0,-23.58753,-45.84743
24/mar,Cajati,46,54,0,0,0,-24.73611,-48.12278
24/mar,Santa Cruz das Palmeiras,42,58,0,0,0,-21.82694,-47.24861
24/mar,Mococa,34,53,0,0,13,-21.46778,-47.00472
24/mar,Pirapora do Bom Jesus,49,51,0,0,0,-23.37201,-46.97798
24/mar,Barrinha,45,55,0,0,0,-21.19361,-48.16389
24/mar,Lucélia,0,100,0,0,0,-21.72028,-51.01889
24/mar,Elias Fausto,43,57,0,0,0,-23.04278,-47.37389
24/mar,Divinolândia,42,58,0,0,0,-21.66459,-46.7045
24/mar,Lorena,34,48,7,0,11,48.76667,6.13333
24/mar,Santo Antônio do Pinhal,0,100,0,0,0,-22.82143,-45.69968
24/mar,Itapevi,40,34,9,0,17,-23.54889,-46.93417
24/mar,Registro,36,45,8,0,11,-24.4875,-47.84361
24/mar,Lindóia,56,44,0,0,0,-22.5125,-46.65352
24/mar,Laranjal Paulista,43,57,0,0,0,-23.04972,-47.83667
24/mar,Guararema,56,44,0,0,0,-23.43419,-46.06086
24/mar,Tambaú,44,56,0,0,0,-21.58688,-47.22761
24/mar,Jambeiro,0,100,0,0,0,-23.28154,-45.71217
24/mar,Pindorama,51,49,0,0,0,-21.20688,-48.91109
24/mar,Mineiros do Tietê,0,100,0,0,0,-22.4486,-48.44074
24/mar,São Paulo,36,41,8,1,14,-23.5475,-46.63611
24/mar,Américo Brasiliense,60,40,0,0,0,-21.72444,-48.10167
24/mar,São Pedro,42,58,0,0,0,-22.83917,-42.10278
24/mar,Charqueada,54,46,0,0,0,-22.53724,-47.7377
24/mar,Itapeva,54,46,0,0,0,-23.94696,-48.83835
24/mar,Chavantes,0,100,0,0,0,-23.0346,-49.72321
24/mar,Santa Gertrudes,52,48,0,0,0,-22.45667,-47.53028
24/mar,Estiva Gerbi,0,100,0,0,0,-22.22052,-46.93878
24/mar,Ouroeste,0,100,0,0,0,-19.9376,-50.41455
24/mar,Cubatão,34,42,9,0,15,-23.895,-46.42528
24/mar,Brodowski,46,54,0,0,0,-21.0506,-47.61728
24/mar,Monte Mor,39,46,0,0,15,-22.94667,-47.31583
24/mar,Itaquaquecetuba,38,39,8,0,15,-23.48611,-46.34833
24/mar,Juquitiba,50,50,0,0,0,-23.93167,-47.06833
24/mar,Embu das Artes,37,37,9,0,17,-23.64889,-46.85222
24/mar,Ilhabela,38,46,0,0,16,-23.8484,-45.32321
24/mar,Bastos,43,57,0,0,0,-21.92194,-50.73389
24/mar,Capela do Alto,55,45,0,0,0,-23.47056,-47.73472
24/mar,Tarumã,49,51,0,0,0,-22.76111,-50.60332
24/mar,Mairiporã,39,47,0,0,14,-23.31861,-46.58667
24/mar,Embu-Guaçu,38,34,10,0,18,-23.83222,-46.81139
24/mar,Serra Negra,45,55,0,0,0,-22.60767,-46.70322
24/mar,Piraju,61,39,0,0,0,-23.19361,-49.38389
24/mar,Mauá,35,41,8,1,15,-23.66778,-46.46139
24/mar,Santa Isabel,37,45,0,0,18,17.99663,-66.38711
24/mar,Itapecerica da Serra,34,41,7,0,18,-23.71694,-46.84917
24/mar,Francisco Morato,34,43,7,0,16,-23.28167,-46.74528
24/mar,Poá,36,38,8,0,18,-23.52806,-46.34472
24/mar,Caieiras,36,41,9,0,14,-23.38134,-46.73815
24/mar,Guaratinguetá,35,43,9,0,13,-22.81639,-45.1925
24/mar,Mongaguá,34,39,9,0,18,-24.05741,-46.66836
24/mar,Santo André,34,41,8,1,16,-23.66389,-46.53833
24/mar,Cajamar,37,40,10,0,13,-23.35193,-46.88129
24/mar,Ourinhos,38,43,9,0,10,-22.97889,-49.87056
24/mar,Suzano,36,39,8,0,17,-23.5425,-46.31083
24/mar,São Vicente,36,41,8,1,14,16.89014,-24.98042
24/mar,Pilar do Sul,48,52,0,0,0,-23.81306,-47.71639
24/mar,Capivari,38,41,10,0,11,-22.995,-47.50778
24/mar,Serrana,50,50,0,0,0,-21.21139,-47.59556
24/mar,Capão Bonito,56,44,0,0,0,-24.00583,-48.34944
24/mar,Várzea Paulista,36,39,9,0,16,-23.21139,-46.82833
24/mar,Jarinu,39,48,0,0,13,-23.10139,-46.72833
24/mar,Ituverava,46,54,0,0,0,-20.30007,-47.82592
24/mar,Osasco,34,40,9,1,16,-23.5325,-46.79167
24/mar,Aparecida,45,55,0,0,0,-22.84694,-45.22972
24/mar,Lins,36,43,10,0,11,48.30639,14.28611
24/mar,Porto Feliz,40,44,0,0,16,-23.21472,-47.52389
24/mar,Santana de Parnaíba,34,42,9,0,15,-23.44417,-46.91778
24/mar,Ibitinga,43,42,0,0,15,-21.75778,-48.82889
24/mar,Itapira,39,48,0,0,13,-22.43611,-46.82167
24/mar,Carapicuíba,36,39,9,0,16,-23.52272,-46.835
24/mar,São Simão,51,49,0,0,0,-21.47917,-47.55083
24/mar,São Caetano do Sul,34,43,8,0,15,-23.62306,-46.55111
24/mar,Barueri,36,40,8,1,15,-23.51056,-46.87611
24/mar,Cotia,36,39,9,0,16,-23.60389,-46.91917
24/mar,Cunha,72,28,0,0,0,-37.11284,-12.28343
24/mar,Pedreira,37,44,0,0,19,-22.75077,-46.89089
24/mar,Vera Cruz,0,100,0,0,0,-8.55861,125.57361
24/mar,Brotas,48,52,0,0,0,-22.28417,-48.12667
24/mar,Mairinque,52,48,0,0,0,-23.54583,-47.18333
24/mar,Franco da Rocha,34,41,10,0,15,-23.32167,-46.72694
24/mar,Salto de Pirapora,43,36,0,0,21,-23.64889,-47.57333
24/mar,Pradópolis,0,100,0,0,0,-21.35944,-48.06556
24/mar,Bernardino de Campos,0,100,0,0,0,-23.02698,-49.49277
24/mar,Santa Fé do Sul,56,44,0,0,0,-20.21111,-50.92583
24/mar,Itararé,53,47,0,0,0,-24.1125,-49.33167
